,,,,,,,,,,,,,,,,
Theme: Society,,,,,,,,,,,,,,,,
Subject: Environment,,,,,,,,,,,,,,,,
Topic: Air Quality and Climate,,,,,,,,,,,,,,,,
"Table Title: Air Pollution Levels, Annual",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data last updated: 12/05/2023,,,,,,,,,,,,,,,,
Source: NATIONAL ENVIRONMENT AGENCY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 
Sulphur Dioxide (Maximum 24-Hour Mean) (Microgram Per Cubic Metre),37,89,30,57,65,59,61,75,83,75,98,80,104,93,80,84
Nitrogen Dioxide (Annual Mean) (Microgram Per Cubic Metre),25,25,20,23,26,25,26,22,24,25,25,25,23,22,22,22
Nitrogen Dioxide (Maximum 1-Hour Mean) (Microgram Per Cubic Metre),128,123,118,156,147,158,123,99,121,132,154,189,153,147,126,177
Particulate Matter (PM10) (Annual Mean) (Microgram Per Cubic Metre),24,28,25,30,29,25,26,37,30,31,29,27,26,29,25,27
Particulate Matter (PM10) (99th Percentile 24-Hour Mean) (Microgram Per Cubic Metre),51,51,43,90,59,57,61,186,75,215,57,55,76,59,49,53
Particulate Matter (PM2.5) (Annual Mean) (Microgram Per Cubic Metre),11,12,11,16,15,14,15,24,18,20,19,17,17,19,16,19
Particulate Matter (PM2.5) (99th Percentile 24-Hour Mean) (Microgram Per Cubic Metre),26,28,24,62,32,34,40,145,51,176,42,41,56,44,32,37
Carbon Monoxide (Maximum 8-Hour Mean) (Milligram Per Cubic Metre),1.7,1.2,1.2,1.7,2,1.7,2.2,3.3,1.8,5.5,1.9,2,2.4,1.9,1.6,1.7
Carbon Monoxide (Maximum 1-Hour Mean) (Milligram Per Cubic Metre),2.1,1.3,1.6,2.3,2.5,2.3,2.7,3.5,2.7,7.5,2.4,2.6,2.8,3.9,2.3,2.5
Ozone (Maximum 8-Hour Mean) (Microgram Per Cubic Metre),124,176,145,125,150,191,115,152,135,139,122,123,139,105,183,206
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
Sulphur Dioxide (Maximum 24-Hour Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - World Health Organisation (WHO) Interim Target-2: Sulphur Dioxide <= 50 g/cubic metre (24-hour mean).",,,,,,,,,,,,,,,,
Nitrogen Dioxide (Annual Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Nitrogen Dioxide <= 40 g/cubic metre (annual mean).",,,,,,,,,,,,,,,,
Nitrogen Dioxide (Maximum 1-Hour Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: Nitrogen Dioxide <= 200 g/cubic metre (1-hour mean).",,,,,,,,,,,,,,,,
Particulate Matter (PM10) (Annual Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: PM 10 (Particulate Matter <= 10 microns ) <= 20 g/cubic metre (annual mean). PM10 levels in 2013 and 2015 were severely affected by transboundary smoke haze from overseas land and forest fires.",,,,,,,,,,,,,,,,
Particulate Matter (PM10) (99th Percentile 24-Hour Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - WHO Air Quality Guideline: PM 10 (Particulate Matter <= 10 microns ) <= 50 g/cubic metre (99th Percentile 24-hour mean). PM10 levels in 2013 and 2015 were severely affected by transboundary smoke haze from overseas land and forest fires.",,,,,,,,,,,,,,,,
Particulate Matter (PM2.5) (Annual Mean) (Microgram Per Cubic Metre):,,,,,,,,,,,,,,,,
"Singapore's Air Quality Targets by 2020 - Singapore Sustainable Blueprint Target: PM 2.5 (Particulate Matter <= 2.5 microns ) <= 12 g/cubic metre (annual mean). PM2.5 levels in 2013 and 2015 were severely affected by transboundary smoke haze from overseas land and forest fires.",,,,,,,,,,,,,,,,
