no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius,Acute Viral hepatitis B,Acute Viral hepatitis C,Avian Influenza,Botulism,Cholera,Dengue Fever,Dengue Haemorrhagic Fever,Diphtheria,Ebola Virus Disease,Encephalitis,Haemophilus influenzae type b,Japanese Encephalitis,Legionellosis,Leptospirosis,Malaria,Measles,Melioidosis,Meningococcal Infection,Monkeypox,Mumps,Murine Typhus,Paratyphoid,Pertussis,Plague,Pneumococcal Disease (invasive),Poliomyelitis,Rubella,SARS,Salmonellosis(non-enteric fevers),Tetanus,Typhoid,Yellow Fever,HFMD_Total,Chikungunya_Total,Nipah_Total,Campylobacter_Total,HepatitisA_Total,HepatitisE_Total,Zika_Total
16,2012,1,106.1,87.3,26.2,25.007930107526885,6.0,26.7,2.0,0.0,0.0,,0.0,332.0,6.0,0.0,,4.0,0.0,,1.0,,9.0,7.0,3.0,0.0,,56.0,,7.0,8.0,0.0,16.0,0.0,9.0,0.0,120.0,,20.0,0.0,1951.0,2.0,0.0,38.0,11.0,5.0,0.0
11,2012,2,83.6,85.6,38.4,25.257183908045977,7.0,27.2,3.0,0.0,0.0,,0.0,257.0,1.0,0.0,,2.0,0.0,,2.0,,3.0,8.0,3.0,0.0,,52.0,,11.0,3.0,0.0,12.0,0.0,8.0,0.0,108.0,,6.0,0.0,3597.0,2.0,0.0,27.0,2.0,9.0,0.0
21,2012,3,313.4,87.3,92.3,25.314247311827955,4.2,27.0,6.0,1.0,0.0,,0.0,281.0,2.0,0.0,,4.0,0.0,,5.0,,14.0,2.0,1.0,0.0,,56.0,,5.0,5.0,0.0,15.0,0.0,5.0,0.0,144.0,,6.0,0.0,5137.0,2.0,0.0,43.0,4.0,11.0,0.0
20,2012,4,260.6,85.1,48.4,25.57111111111111,5.8,27.6,3.0,0.0,0.0,,0.0,308.0,3.0,0.0,,1.0,0.0,,3.0,,10.0,2.0,4.0,0.0,,54.0,,5.0,0.0,0.0,13.0,0.0,9.0,0.0,109.0,,6.0,0.0,5597.0,2.0,0.0,34.0,5.0,6.0,0.0
19,2012,5,292.0,83.1,79.2,25.842473118279568,5.6,28.2,5.0,0.0,0.0,,1.0,337.0,1.0,0.0,,0.0,0.0,,1.0,,6.0,2.0,3.0,0.0,,45.0,,4.0,2.0,0.0,9.0,0.0,4.0,0.0,124.0,,8.0,0.0,5852.0,1.0,0.0,32.0,8.0,13.0,0.0
8,2012,6,53.0,79.0,38.2,25.799305555555556,6.0,28.7,4.0,0.0,0.0,,0.0,605.0,3.0,0.0,,1.0,0.0,,3.0,,22.0,3.0,1.0,0.0,,46.0,,11.0,3.0,0.0,20.0,0.0,5.0,0.0,146.0,,10.0,0.0,4095.0,0.0,0.0,36.0,9.0,9.0,0.0
17,2012,7,130.8,81.1,35.4,25.18494623655914,6.2,27.7,2.0,0.0,0.0,,1.0,459.0,2.0,0.0,,0.0,1.0,,4.0,,22.0,1.0,0.0,0.0,,39.0,,4.0,1.0,0.0,11.0,0.0,6.0,0.0,109.0,,2.0,0.0,3051.0,0.0,0.0,32.0,12.0,10.0,0.0
12,2012,8,119.0,79.8,31.0,25.202016129032256,6.1,27.9,6.0,0.0,0.0,,0.0,436.0,0.0,0.0,,1.0,0.0,,2.0,,13.0,3.0,4.0,0.0,,46.0,,5.0,1.0,0.0,18.0,0.0,6.0,0.0,128.0,,6.0,0.0,2199.0,0.0,0.0,29.0,12.0,6.0,0.0
10,2012,9,107.6,79.7,35.8,25.150555555555556,5.6,27.9,7.0,1.0,0.0,,0.0,422.0,4.0,0.0,,6.0,0.0,,3.0,,14.0,3.0,6.0,0.0,,43.0,,2.0,0.0,0.0,14.0,0.0,1.0,0.0,169.0,,5.0,0.0,2608.0,1.0,0.0,61.0,16.0,14.0,0.0
13,2012,10,122.2,81.3,22.6,25.155779569892474,5.9,27.7,7.0,0.0,0.0,,0.0,415.0,1.0,0.0,,3.0,0.0,,0.0,,14.0,2.0,3.0,0.0,,30.0,,1.0,0.0,0.0,13.0,0.0,5.0,0.0,100.0,,3.0,0.0,1307.0,5.0,0.0,47.0,10.0,5.0,0.0
