no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius
10,1982,1,107.1,81.2,36.5,23.45604838709677,5.6,25.9
5,1982,2,27.8,79.5,9.4,24.297619047619047,7.6,27.1
11,1982,3,160.8,82.3,61.7,24.811559139784944,5.1,27.2
14,1982,4,157.0,85.9,45.1,25.10375,4.7,27.0
10,1982,5,102.2,83.2,33.0,25.689650537634407,5.8,28.0
8,1982,6,59.5,80.3,20.6,25.729305555555552,7.3,28.4
8,1982,7,76.3,77.6,17.2,25.107258064516127,7.6,28.2
11,1982,8,169.5,80.4,57.7,25.02755376344086,5.4,27.7
9,1982,9,54.1,80.6,18.0,25.243055555555557,5.2,27.9
10,1982,10,39.3,81.5,10.0,24.90067204301075,5.6,27.4
13,1982,11,134.0,83.4,39.6,25.068888888888885,5.8,27.3
21,1982,12,494.1,87.7,109.0,24.621639784946236,3.3,26.2
18,1983,1,246.0,85.6,43.2,24.554973118279573,4.3,26.5
2,1983,2,5.6,78.0,5.1,24.97440476190476,9.3,28.1
2,1983,3,18.6,76.0,18.3,25.439247311827955,8.9,28.9
4,1983,4,33.6,77.2,21.3,26.09347222222222,6.6,29.4
11,1983,5,160.8,83.2,32.3,25.95685483870968,5.9,28.3
11,1983,6,94.0,82.4,27.7,25.872500000000002,5.9,28.3
18,1983,7,190.0,83.7,55.5,25.422043010752688,5.4,27.6
10,1983,8,262.2,81.2,181.8,25.54959677419355,6.3,28.1
18,1983,9,170.8,84.4,50.3,25.13722222222222,3.8,27.2
17,1983,10,212.7,82.5,40.0,25.239247311827956,5.2,27.6
18,1983,11,228.8,85.2,54.8,24.687638888888888,3.2,26.6
16,1983,12,370.6,88.0,164.4,23.882526881720427,2.7,25.4
18,1984,1,251.2,85.8,62.3,23.667876344086025,4.1,25.5
19,1984,2,470.4,86.0,154.4,24.00991379310345,4.1,25.8
19,1984,3,361.3,85.4,119.4,24.6002688172043,5.3,26.5
17,1984,4,153.1,83.8,38.7,25.178472222222222,6.2,27.3
12,1984,5,186.5,84.1,46.0,25.15645161290323,6.4,27.3
14,1984,6,255.0,83.1,121.1,25.2575,5.4,27.5
12,1984,7,127.2,83.7,49.2,24.984274193548387,5.7,27.2
13,1984,8,102.7,84.1,22.5,25.241935483870968,6.0,27.4
17,1984,9,186.7,83.9,46.5,24.65791666666667,4.9,26.8
11,1984,10,187.5,82.5,47.2,25.00712365591398,5.3,27.4
17,1984,11,127.7,86.3,35.4,24.650138888888886,4.3,26.5
22,1984,12,277.4,86.7,58.4,24.245833333333334,3.3,26.0
7,1985,1,111.1,81.5,35.5,24.091129032258063,8.7,26.6
11,1985,2,79.3,84.0,18.7,24.892857142857142,6.5,27.0
13,1985,3,88.0,83.9,23.8,24.92822580645161,5.6,27.1
14,1985,4,110.5,83.8,29.3,25.28291666666667,5.5,27.5
12,1985,5,70.1,83.4,36.2,25.736962365591395,5.7,28.0
14,1985,6,37.0,79.4,9.9,25.32333333333333,5.8,28.2
17,1985,7,131.8,83.1,32.2,24.738575268817204,5.3,27.0
11,1985,8,56.9,80.4,21.4,25.07983870967742,6.2,27.7
18,1985,9,110.7,83.1,22.0,24.693055555555556,5.0,26.9
21,1985,10,169.0,84.7,30.2,24.6747311827957,4.1,26.7
21,1985,11,179.4,85.0,38.2,24.571805555555557,4.1,26.6
22,1985,12,340.1,86.2,86.8,24.273118279569893,4.6,26.1
13,1986,1,308.2,83.9,95.6,23.615591397849464,3.9,25.7
2,1986,2,26.7,78.4,23.0,23.99955357142857,7.2,26.9
17,1986,3,353.4,86.6,71.1,24.6747311827957,4.6,26.4
14,1986,4,150.0,85.3,56.4,25.42013888888889,6.2,27.4
13,1986,5,145.1,81.8,51.3,25.686155913978496,6.1,28.2
13,1986,6,122.9,82.5,34.5,25.542222222222225,6.8,27.9
12,1986,7,109.7,79.9,23.5,25.11209677419355,6.2,27.9
11,1986,8,72.9,77.3,28.4,25.126478494623655,5.6,28.3
22,1986,9,396.0,84.4,97.6,24.64486111111111,4.8,26.7
20,1986,10,227.3,85.0,65.6,24.90537634408602,5.0,26.9
21,1986,11,256.7,84.1,40.5,24.504583333333333,4.5,26.6
16,1986,12,367.2,85.2,131.7,24.403494623655916,5.4,26.3
16,1987,1,568.6,86.0,127.4,23.70255376344086,4.0,25.5
7,1987,2,86.9,79.0,34.8,23.781994047619047,9.2,26.6
12,1987,3,132.5,83.2,40.9,25.19475806451613,6.9,27.5
10,1987,4,72.5,82.8,27.7,25.573194444444447,6.2,27.9
16,1987,5,270.0,84.6,81.4,25.55766129032258,5.6,27.6
15,1987,6,126.6,80.7,30.7,26.001527777777774,6.8,28.7
11,1987,7,80.9,81.3,21.6,25.540188172043013,6.7,28.1
16,1987,8,191.9,83.6,48.2,25.20483870967742,5.1,27.4
11,1987,9,129.9,82.5,44.5,25.21027777777778,5.4,27.6
9,1987,10,22.6,82.1,5.9,25.403897849462364,5.8,27.9
17,1987,11,347.6,84.0,77.7,25.099861111111114,4.5,27.3
11,1987,12,72.8,84.6,24.3,24.40981182795699,4.8,26.4
15,1988,1,237.5,84.3,69.0,24.706989247311828,5.9,26.8
9,1988,2,158.1,83.2,46.7,24.87528735632184,6.7,27.1
15,1988,3,186.8,85.3,70.1,25.28682795698925,5.2,27.3
13,1988,4,109.6,84.5,22.8,25.7025,5.4,27.8
14,1988,5,229.6,82.7,76.7,26.008467741935483,5.6,28.4
13,1988,6,252.2,81.6,69.4,25.459305555555556,6.5,28.0
15,1988,7,305.4,84.0,75.6,25.204435483870967,6.0,27.3
